"Report Refresh Date","Web","Windows Phone","Android Phone","iOS","Mac","Windows","Report Date","Report Period",
"2018-11-18","0","0","2","2","0","6","2018-11-18","7",
"2018-11-18","0","0","3","2","0","4","2018-11-17","7",
"2018-11-18","0","0","3","4","1","13","2018-11-16","7",
"2018-11-18","2","0","3","3","1","13","2018-11-15","7",
"2018-11-18","1","0","3","2","1","12","2018-11-14","7",
"2018-11-18","0","0","5","4","1","11","2018-11-13","7",
"2018-11-18","1","0","4","5","1","16","2018-11-12","7",
