"Report Refresh Date","Mail For Mac","Outlook For Mac","Outlook For Windows","Outlook For Mobile","Other For Mobile","Outlook For Web","POP3 App","IMAP4 App","SMTP App","Report Date","Report Period",
"2018-11-18","","1","21","15","3","2","","","1","2018-11-12","7",
"2018-11-18","","","21","13","2","2","","","1","2018-11-13","7",
"2018-11-18","","","20","15","4","1","","","1","2018-11-14","7",
"2018-11-18","1","1","18","13","3","2","","","1","2018-11-15","7",
"2018-11-18","","1","17","12","2","2","","","1","2018-11-16","7",
"2018-11-18","","","9","10","1","","","","1","2018-11-17","7",
"2018-11-18","","","9","10","2","","","","","2018-11-18","7",
