"Report Refresh Date","Site Type","Storage Used (Byte)","Storage Used (Gb)","Report Period",
"2018-11-18","OneDrive","630880518026","587.5533","7",
"2018-11-18","All","630880518026","587.5533","7",
"2018-11-18","OneDrive","631364225788","588.0038","7",
"2018-11-18","All","631364225788","588.0038","7",
"2018-11-18","OneDrive","631352643833","587.993","7",
"2018-11-18","All","631352643833","587.993","7",
"2018-11-18","OneDrive","631131833711","587.7874","7",
"2018-11-18","All","631131833711","587.7874","7",
"2018-11-18","OneDrive","631131833711","587.7874","7",
