"Report Refresh Date";"Site Type";"Storage Used (Byte)";"Storage Used (Gb)";"Report Date";"Report Period";
"2018-11-18";"All";"605230992794";"563.6653";"2018-11-18";"7";
"2018-11-18";"All";"605181762624";"563.6194";"2018-11-17";"7";
"2018-11-18";"All";"604963365104";"563.416";"2018-11-16";"7";
"2018-11-18";"All";"604605248929";"563.0825";"2018-11-15";"7";
"2018-11-18";"All";"604605248929";"563.0825";"2018-11-14";"7";
"2018-11-18";"All";"604485559281";"562.9711";"2018-11-13";"7";
"2018-11-18";"All";"604485559281";"562.9711";"2018-11-12";"7";
