"Report Refresh Date","Under Limit","Warning Issued","Send Prohibited","Send/Receive Prohibited","Indeterminate","Report Date","Report Period",
"2018-11-18","36","0","0","0","0","2018-11-18","7",
"2018-11-18","36","0","0","0","0","2018-11-17","7",
"2018-11-18","36","0","0","0","0","2018-11-16","7",
"2018-11-18","36","0","0","0","0","2018-11-15","7",
"2018-11-18","36","0","0","0","0","2018-11-14","7",
"2018-11-18","36","0","0","0","0","2018-11-13","7",
"2018-11-18","36","0","0","0","0","2018-11-12","7",
