"Report Refresh Date";"Mailbox Storage Used (Byte)";"Mailbox Storage Used (Gb)";"Site Storage Used (Byte)";"Site Storage Used (Gb)";"Report Date";"Report Period";
"2018-11-18";"5632797885";"5.245952";"536794654543";"499.929";"2018-11-18";"7";
"2018-11-18";"5628334659";"5.241795";"536757112808";"499.894";"2018-11-17";"7";
"2018-11-18";"5614342541";"5.228764";"536558562369";"499.7091";"2018-11-16";"7";
"2018-11-18";"5613278670";"5.227773";"536475194204";"499.6315";"2018-11-15";"7";
"2018-11-18";"5602818054";"5.218031";"536475194204";"499.6315";"2018-11-14";"7";
"2018-11-18";"5597846179";"5.2134";"536371777430";"499.5352";"2018-11-13";"7";
"2018-11-18";"5574937468";"5.192065";"536371777430";"499.5352";"2018-11-12";"7";
