"Report Refresh Date";"Report Date";"Report Period";"IM";"Audio/Video";"App Sharing";"Web";"Dial-in/out 3rd Party";"Dial-in/out Microsoft";
"2018-11-18";"2018-11-18";"7";"0";"0";"0";"0";"0";"0";
"2018-11-18";"2018-11-17";"7";"0";"0";"0";"0";"0";"0";
"2018-11-18";"2018-11-16";"7";"2";"3";"2";"0";"0";"3";
"2018-11-18";"2018-11-15";"7";"3";"5";"3";"0";"0";"5";
"2018-11-18";"2018-11-14";"7";"1";"3";"2";"0";"0";"3";
"2018-11-18";"2018-11-13";"7";"2";"2";"0";"0";"0";"3";
"2018-11-18";"2018-11-12";"7";"0";"1";"0";"0";"0";"1";
